TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE30617	1.0331247325573475e-07																																			1.5821139826003247e-07																	1.4256105364386917e-07						7.9834612136592e-08		
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE41338						4.997680139350315e-07						7.337148890155548e-08																																																	
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE41637						9.508007487023448e-09						7.343620468724368e-08				3.140809942103949e-08																				7.990872936840273e-08																9.376617349285035e-09	1.3509012870146543e-07				2.2910096824033612e-07				
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE36026																				3.6456552848458024e-08																																									
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE43520												8.88521501702037e-08										8.387011641906306e-08																										5.8043613363418784e-08									1.1599384965810957e-07				
			ENSMUST00000196467	ENSMUSE00001287626	16_2	mus_musculus	4	GSE41637																																																					1.0786369596960505e-08				1.0917339733398127e-08				
			ENSMUST00000196467	ENSMUSE00001287626	16_2	mus_musculus	4	GSE43520												2.96173833900679e-08																																													5.799692482905479e-08				
			ENSMUST00000196676	ENSMUSE00001287626	16_2	mus_musculus	4	GSE41637																																																					1.0786369596960505e-08				1.0917339733398127e-08				
			ENSMUST00000196676	ENSMUSE00001287626	16_2	mus_musculus	4	GSE43520												2.96173833900679e-08																																													5.799692482905479e-08				
			ENSMUST00000199567	ENSMUSE00001287626	16_2	mus_musculus	4	GSE41637																																																					1.0786369596960505e-08				1.0917339733398127e-08				
			ENSMUST00000199567	ENSMUSE00001287626	16_2	mus_musculus	4	GSE43520												2.96173833900679e-08																																													5.799692482905479e-08				
			ENSMUST00000196676	ENSMUSE00001206949	5_0	mus_musculus	2	GSE43721																																																									1.2351930156455599e-08				
			ENSMUST00000196676	ENSMUSE00001206949	5_0	mus_musculus	2	GSE43520																																																									2.8998462414527394e-08				
			ENSMUST00000199567	ENSMUSE00001206949	5_0	mus_musculus	2	GSE43721																																																									1.2351930156455599e-08				
			ENSMUST00000199567	ENSMUSE00001206949	5_0	mus_musculus	2	GSE43520																																																									2.8998462414527394e-08				
						mus_musculus	1	GSE36026																													3.370263785154042e-08																																
						mus_musculus	1	GSE41637																																																									1.0917339733398127e-08				
						mus_musculus	1	SRP022612																																																													0.0
						mus_musculus	1	GSE36026										5.0138600640681065e-08																																																			
						mus_musculus	1	GSE41637																																																					1.0891230716476998e-08								
						mus_musculus	11	GSE41637												1.0343958016025956e-08																								3.8779438877806806e-08																	1.0891230716476998e-08				5.726467443727552e-08				
						mus_musculus	11	GSE30352																																																									5.9119444291984245e-08				
						mus_musculus	11	GSE30617																																				4.8912599179992546e-08																	5.355031062393181e-08								
						mus_musculus	11	SRP022612																																																													2.0454229111297495e-08
						mus_musculus	1	GSE30617																																																					5.355031062393181e-08								
						mus_musculus	1	GSE41637																																				3.8779438877806806e-08																									
						monodelphis_domestica	1	GSE30352																																			7.712993347157589e-08																										
						monodelphis_domestica	1	GSE43520																						0.0																																							
ENSRNOT00000071335	ENSRNOE00000543348	11_0	ENSRNOT00000071335	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE41637						2.9249095188497087e-07						1.0879816961440982e-08																							1.7616669809040143e-08																		1.2220915478215367e-08								
ENSRNOT00000071335	ENSRNOE00000543348	11_0	ENSRNOT00000071335	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE43013						2.481382900041452e-07																																																							
ENSRNOT00000078807	ENSRNOE00000543348	11_0	ENSRNOT00000071335	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE41637						2.9249095188497087e-07						1.0879816961440982e-08																							1.7616669809040143e-08																		1.2220915478215367e-08								
ENSRNOT00000078807	ENSRNOE00000543348	11_0	ENSRNOT00000071335	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE43013						2.481382900041452e-07																																																							
ENSRNOT00000071335	ENSRNOE00000543348	11_0	ENSRNOT00000078807	ENSRNOE00000533829	24_0	rattus_norvegicus	9	GSE41637						2.9249095188497087e-07						1.0879816961440982e-08																							1.7616669809040143e-08																		1.2220915478215367e-08								
