TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSGGOT00000027259	ENSGGOE00000260654	23_0	ENSGGOT00000008355	ENSGGOE00000085280	26_0	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000260654	23_0	ENSGGOT00000027259	ENSGGOE00000085280	26_0	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085284	20_0	ENSGGOT00000008355	ENSGGOE00000085290	3_0	gorilla_gorilla	1	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085284	20_0	ENSGGOT00000027259	ENSGGOE00000085290	3_0	gorilla_gorilla	1	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085284	20_0	ENSGGOT00000008355	ENSGGOE00000085290	3_0	gorilla_gorilla	1	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085284	20_0	ENSGGOT00000027259	ENSGGOE00000085290	3_0	gorilla_gorilla	1	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085290	3_0				gorilla_gorilla	1	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085290	3_0				gorilla_gorilla	1	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085290	3_0	ENSGGOT00000008355	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085290	3_0	ENSGGOT00000008355	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085290	3_0	ENSGGOT00000027259	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085290	3_0	ENSGGOT00000027259	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085290	3_0	ENSGGOT00000008355	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085290	3_0	ENSGGOT00000008355	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085290	3_0	ENSGGOT00000027259	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085290	3_0	ENSGGOT00000027259	ENSGGOE00000085300	19_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085300	19_2	ENSGGOT00000008355	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085300	19_2	ENSGGOT00000008355	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085300	19_2	ENSGGOT00000027259	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000008355	ENSGGOE00000085300	19_2	ENSGGOT00000027259	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085300	19_2	ENSGGOT00000008355	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085300	19_2	ENSGGOT00000008355	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085300	19_2	ENSGGOT00000027259	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE30352						0.0																																																							
ENSGGOT00000027259	ENSGGOE00000085300	19_2	ENSGGOT00000027259	ENSGGOE00000085305	16_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085305	16_2	ENSGGOT00000008355	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE30352																																																	0.0								0.0				
ENSGGOT00000008355	ENSGGOE00000085305	16_2	ENSGGOT00000008355	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085305	16_2	ENSGGOT00000027259	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE30352																																																	0.0								0.0				
ENSGGOT00000008355	ENSGGOE00000085305	16_2	ENSGGOT00000027259	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085305	16_2	ENSGGOT00000008355	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE30352																																																	0.0								0.0				
ENSGGOT00000027259	ENSGGOE00000085305	16_2	ENSGGOT00000008355	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085305	16_2	ENSGGOT00000027259	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE30352																																																	0.0								0.0				
ENSGGOT00000027259	ENSGGOE00000085305	16_2	ENSGGOT00000027259	ENSGGOE00000213046	29_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000213046	29_0				gorilla_gorilla	1	GSE30352																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000213046	29_0				gorilla_gorilla	1	GSE30352																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000213046	29_0	ENSGGOT00000008355	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
ENSGGOT00000008355	ENSGGOE00000213046	29_0	ENSGGOT00000008355	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000213046	29_0	ENSGGOT00000027259	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
ENSGGOT00000008355	ENSGGOE00000213046	29_0	ENSGGOT00000027259	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000213046	29_0	ENSGGOT00000008355	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
ENSGGOT00000027259	ENSGGOE00000213046	29_0	ENSGGOT00000008355	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000213046	29_0	ENSGGOT00000027259	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
ENSGGOT00000027259	ENSGGOE00000213046	29_0	ENSGGOT00000027259	ENSGGOE00000346337	5_0	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000346337	5_1	ENSGGOT00000008355	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE30352																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000346337	5_1	ENSGGOT00000008355	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000346337	5_1	ENSGGOT00000027259	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE30352																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000346337	5_1	ENSGGOT00000027259	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000346337	5_1	ENSGGOT00000008355	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE30352																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000346337	5_1	ENSGGOT00000008355	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000346337	5_1	ENSGGOT00000027259	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE30352																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000346337	5_1	ENSGGOT00000027259	ENSGGOE00000085317	15_2	gorilla_gorilla	2	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085317	15_2	ENSGGOT00000008355	ENSGGOE00000085321	6_1	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
ENSGGOT00000008355	ENSGGOE00000085317	15_2	ENSGGOT00000008355	ENSGGOE00000085321	6_1	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000008355	ENSGGOE00000085317	15_2	ENSGGOT00000027259	ENSGGOE00000085321	6_1	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
ENSGGOT00000008355	ENSGGOE00000085317	15_2	ENSGGOT00000027259	ENSGGOE00000085321	6_1	gorilla_gorilla	3	GSE43520																																																									0.0				
ENSGGOT00000027259	ENSGGOE00000085317	15_2	ENSGGOT00000008355	ENSGGOE00000085321	6_1	gorilla_gorilla	3	GSE30352						0.0																																																			0.0				
