,path,blastula,embryo,female gonad,gastrula,mesonephros,testis,brain,egg cell,heart,liver,skeletal muscle tissue,Species,adult mammalian kidney,colon,lung,spleen,placenta,cerebellum,kidney,prefrontal cortex,frontal cortex,embryonic stem cell,fibroblast,thymus,zone of skin,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,heart left ventricle,intestine,multi-cellular organism,muscle of leg,stomach,adipose tissue,adrenal gland,adrenal tissue,lymph node,prostate gland,temporal lobe,thoracic mammary gland,thyroid gland,leukocyte
44,"13_0,2_6",,,,,,,0.04347371424168711,,,,,homo_sapiens,,,,,,0.02655579674197129,,0.03455881616078707,0.01583837162192354,,,,,,,,,,,,0.0006588419669635858,,,,,,,,,,,
45,"13_0,3_0,2_6",,,1.0,,,1.0,0.956526285758313,,1.0,,,homo_sapiens,,1.0,1.0,,1.0,0.9734442032580287,1.0,0.965441183839213,0.9841616283780764,,,,,,,,,,,1.0,0.9993411580330365,1.0,1.0,,,1.0,,1.0,1.0,,1.0,
46,"3_0,10_0",,,,,,1.0,,,1.0,1.0,,gorilla_gorilla,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
47,"3_0,10_0",,,1.0,,,1.0,1.0,,1.0,1.0,1.0,homo_sapiens,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.019805774436031823,0.9869999627518572,1.0,1.0,0.9889267219966443,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
48,"3_0,2_4,10_0",,,,,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,0.9801942255639682,0.013000037248142889,,,0.011073278003355646,,,,,,,,,
49,"3_0,10_0",,,1.0,,,1.0,1.0,,1.0,1.0,,ornithorhynchus_anatinus,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"3_0,10_0",1.0,0.24737131741249935,0.9951561125909646,0.1814279307385102,1.0,1.0,0.46246030182295356,1.0,0.012787348109838372,1.0,0.0014544132351604398,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"3_0,2_4,10_0",,0.7526286825875006,0.004843887409035417,0.8185720692614897,,,0.5375396981770464,,0.9872126518901616,,0.9985455867648396,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"7_1,1_1",,,,,,0.0,,,0.0023648223127053078,,,gorilla_gorilla,0.0,,,,,0.0,,0.0056788908562448205,,,,,,,,,,,,,,,,,,,,,,,,
53,"7_1,8_0,8_1,1_1",,,,,,1.0,,,0.9976351776872947,1.0,,gorilla_gorilla,1.0,,,,,1.0,,0.994321109143755,1.0,,,,,,,,,,,,,,,,,,,,,,,
54,"7_1,1_1",,,0.00016049614526372606,,,0.0,0.0,,0.00044496084202680976,0.0,0.0,homo_sapiens,0.0,0.0023728219166108022,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0003211466607850421,0.0,0.0002761772886003923,0.00011574017135270504,0.00016016465553092462,0.0,0.0017198724830245846,0.0,,0.0,,0.0,0.0005115933988444048,
55,"7_1,8_0,8_1,1_1",,,0.9998395038547362,,,1.0,1.0,,0.9995550391579733,1.0,1.0,homo_sapiens,1.0,0.9976271780833893,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.9996788533392149,1.0,0.9997238227113997,0.9998842598286473,0.9998398353444691,1.0,0.9982801275169754,1.0,1.0,1.0,1.0,1.0,0.9994884066011556,1.0
56,"7_1,8_0,8_1,1_1",,,1.0,,,1.0,1.0,,1.0,1.0,,monodelphis_domestica,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"7_1,1_1",,,,,,,,,1.0,,1.0,mus_musculus,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
58,"7_1,8_0,8_1,1_1",,,1.0,,,1.0,1.0,,1.0,1.0,,ornithorhynchus_anatinus,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"7_1,8_0,8_1,1_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
