Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	1_1,11_0,13_0					1.5009212192121486e-06						3.228755080829786e-06								2.7451206779415e-06		0.00013741367694649595					1.5225296807116986e-06							5.103620621978638e-06						1.0856265316229957e-06				
sus_scrofa	1_1,11_0,13_0					2.256115796928236e-06																0.0006345182421558292			5.013010962135765e-06		1.1030347761518785e-06	1.2805126331649518e-05						6.026473514840308e-06										
ornithorhynchus_anatinus	1_1,11_0,13_0					3.858401015296822e-07				2.2943623769027604e-06		3.75552762803151e-06						1.1056006435687743e-05				0.00012521284853615297					8.970923507711403e-08													8.036849507697957e-07				
homo_sapiens	1_1,11_0,13_0		5.877047097426641e-06	1.8707517084647397e-05	2.6893644733320033e-06	2.58406157966938e-06				2.741270538867915e-06		1.290287223233136e-06		5.498431400210886e-05				1.180436863958618e-05		1.1871503087687246e-05		0.0002758531717472577	0.0005359868031459803	3.030618012255526e-05	3.578546969948339e-06		1.9030784630398957e-07	4.726444029060123e-06	3.7354806216918895e-06		0.00018510682542995547	0.00027203893974449457	1.7092949971028716e-05	2.2482830264525195e-06	6.325690557498718e-05	7.618736327355092e-06		5.2663080948905626e-05	1.7366417516463373e-06	8.566365981557315e-06	1.3770086357321361e-05		2.609302110269445e-05	
rattus_norvegicus	1_1,11_0,13_0					3.0169018787429268e-06				1.1187849439948742e-05				7.691458432782854e-05								0.0010708812618797597					9.816735820448927e-07	2.4107102211305823e-05								0.002610340501370932	7.148602682677489e-06			1.2251788409211465e-06				
mus_musculus	1_1,13_0					1.6367295820787842e-07				2.178618036020489e-08				7.37335510668392e-08			3.0988069921189277e-07	3.814805579932186e-07	5.0978023577947606e-08			1.9046727774490616e-07					6.796317207686749e-08	1.8821616092869737e-07					1.0734716592301678e-06			1.4416967687015e-07	8.739722514645605e-08			5.375346808714096e-08		8.898445931919081e-08		4.8316659197022936e-08
ornithorhynchus_anatinus	1_1,13_0																	7.273411237871316e-08																						3.1477764929508985e-08				
monodelphis_domestica	1_1,13_0																	4.123033675148148e-08															6.605336557089857e-08											
homo_sapiens	1_1,13_0																						6.243952978060078e-08	7.66660745490176e-08				4.955037739797215e-08			2.3753909342764968e-08	6.596067596409623e-08						9.254048894182255e-08						
xenopus_tropicalis	1_1,13_0						5.595117985839176e-07									2.507006459928e-07		8.669178278904013e-08			4.359484874575778e-07									3.3632591649484905e-08										3.383113708921429e-08				
bos_taurus	1_1,13_0					1.0809983621454095e-07								8.026692651746345e-08														3.189360795853196e-08						5.117225137590672e-08			1.291195612145445e-08			1.1715850343736429e-07				
rattus_norvegicus	1_1,13_0					4.691228028673524e-08				1.0879816961440972e-08				1.6921158063752475e-08								1.7296079653289712e-08					9.825763382429113e-08	1.0325346078660188e-07								1.7690098729679305e-08	2.4441830956430704e-08			2.166869445920863e-08				
