,path,blastula,brain,egg cell,embryo,female gonad,gastrula,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,kidney,prefrontal cortex,cerebellum,placenta,frontal cortex,Ammon's horn,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,temporal lobe,thoracic mammary gland,thyroid gland
16,"15_0,8_0",,0.018362086900393083,,,0.06809106539626238,,0.16327450312391464,0.30778831165889065,,,,homo_sapiens,,,0.1384523176633258,,0.15034745288953233,,,,,,,,,,,,,,0.060909052217395926,0.11127353939726319,0.09074947581856589,0.06646680194069185,,,0.03153756989473224,0.023234859209801992,0.016297695930720214,0.07461251717477713,,,
17,"15_0,14_0,8_0",,0.9816379130996069,,,0.9319089346037376,,0.8367254968760853,0.6922116883411092,,1.0,1.0,homo_sapiens,1.0,1.0,0.8615476823366742,,0.8496525471104677,1.0,1.0,1.0,1.0,,,,,,,,,1.0,0.939090947782604,0.8887264606027369,0.909250524181434,0.9335331980593081,1.0,1.0,0.9684624301052678,0.976765140790198,0.9837023040692798,0.9253874828252229,1.0,1.0,1.0
18,"15_0,8_0",,,,,,,,,,,0.020800508156028907,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"15_0,14_0,8_0",,1.0,,,1.0,,1.0,1.0,,,0.9791994918439711,monodelphis_domestica,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
20,"15_0,8_0",,0.01681691392659632,,,0.044070999291392896,,,,,0.009536308854526531,0.06976784942988436,mus_musculus,0.023854044921425257,,0.1144942069826893,0.04474409014039652,,,0.06456644271372812,0.091260301721594,,0.0119611452703817,,,,,,0.036628568326032646,0.04842824704496057,,,,,,,,,,,,,,
21,"15_0,14_0,8_0",,0.9831830860734037,,,0.9559290007086072,,1.0,1.0,,0.9904636911454735,0.9302321505701157,mus_musculus,0.9761459550785747,1.0,0.8855057930173106,0.9552559098596035,,,0.9354335572862719,0.908739698278406,,0.9880388547296183,1.0,1.0,1.0,1.0,1.0,0.9633714316739674,0.9515717529550394,,,,,,,,,,,,,,
22,"15_0,8_0",,0.010161126850647888,,,,,,0.17591549572195844,,0.0,,rattus_norvegicus,0.029380776144352427,0.11554680971239331,0.0,0.01160110879523109,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"15_0,14_0,8_0",,0.989838873149352,,,,,1.0,0.8240845042780416,,1.0,1.0,rattus_norvegicus,0.9706192238556476,0.8844531902876067,1.0,0.9883988912047688,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"15_0,14_0,8_0",,,,,,,1.0,1.0,,,,sus_scrofa,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,"15_0,14_0,8_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"10_0,18_1",,1.0,,,,,1.0,1.0,,1.0,1.0,bos_taurus,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
27,"10_0,18_1",,,,,,,0.598627548840611,1.0,,,0.8715876320446284,gorilla_gorilla,1.0,,,,,0.4996077007441867,0.7046247239995729,,0.5462753950338599,,,,,,,,,,,,,,,,,,,,,,
28,"10_0,20_1,20_2,18_1",,,,,,,0.4013724511593889,,,,0.12841236795537161,gorilla_gorilla,,,,,,0.5003922992558134,0.29537527600042707,,0.45372460496614003,,,,,,,,,,,,,,,,,,,,,,
