,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,placenta,frontal cortex,Ammon's horn,bone marrow,brown adipose tissue,cerebral cortex,embryonic stem cell,female gonad,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,blastula,embryo,gastrula,mesonephros,bone marrow macrophage,temporal lobe,egg cell
31,"7_0,52_0",1.0,,,1.0,1.0,1.0,,,,sus_scrofa,1.0,0.348784685471464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"7_0,37_1,52_0",,,,,,,,,,sus_scrofa,,0.651215314528536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"7_0,52_0",,0.2268915001413719,,1.0,1.0,,1.0,,1.0,xenopus_tropicalis,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,0.5322019511473616,0.5527662218366951,1.0,,,
34,"7_0,37_1,52_0",,0.7731084998586281,,,,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4677980488526385,0.44723377816330484,,,,
35,"39_0,54_0,54_1,11_0",1.0,,,1.0,1.0,,,,1.0,gorilla_gorilla,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"39_0,11_0",,,,,,,,,,homo_sapiens,,0.020951011546584398,0.046373168952350025,,,,,,,,,,,,,,,,,,,,0.01522616458919533,,,,,,,,,,,
37,"39_0,54_0,54_1,11_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,homo_sapiens,1.0,0.9790489884534156,0.9536268310476499,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9847738354108047,1.0,1.0,1.0,1.0,,,,,,,
38,"39_0,11_0",,,,0.005405405405405405,,,,,,sus_scrofa,,0.024975841603027064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"39_0,54_0,54_1,11_0",1.0,,,0.9945945945945946,1.0,1.0,,,,sus_scrofa,1.0,0.975024158396973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"3_0,31_0",1.0,0.07217214096034116,,0.567319985501716,1.0,0.7752729278081022,0.5134860199267615,,0.7123333745966202,homo_sapiens,0.8090462364942005,0.07789623800627166,0.01743334576630517,1.0,0.043257354320581115,,,,,,0.6237831248991498,,,,1.0,1.0,0.8615652394719486,0.7692307692307693,0.5777760214021801,1.0,1.0,0.482620975793766,0.34477525906408196,1.0,0.5324546182553407,1.0,0.5116909443330179,,,,,,,
