Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
rattus_norvegicus	4_0,14_0,9_0					1.4258093346959322e-06				1.7983461891440625e-06				1.3229552145128643e-06								2.711258871860084e-06					9.679446095907104e-07	2.2198146420407057e-06								1.0537840361619557e-05	1.8188732049112235e-06		1.4475256270032918e-05				
homo_sapiens	4_0,9_0											5.8711614382492146e-08						3.6059411630840606e-08						9.212693359462991e-08	4.463156774719395e-08						1.5595821679745467e-08		2.8571177961381877e-08					6.938596749295174e-08		4.4798230969001975e-08			
bos_taurus	4_0,9_0																																						6.015803265934585e-08				
mus_musculus	12_2,6_0,10_0,8_0	4.449087040402731e-06				1.4163519011974322e-06			1.1531878147356645e-06	1.3853554670388903e-06	5.816398322164856e-07	1.528069151121002e-06	5.560970858504847e-07	1.1123596487360654e-06			3.8340141412295015e-06	5.031422232338262e-06	1.3466694561841167e-06			4.8469131924722324e-06					1.245109997411484e-06	3.5385144124167032e-06					5.526075348613679e-06			9.376891401711103e-06	2.4879220801199797e-06		2.1767964990721184e-05		9.821174525321732e-06		3.3809735798511663e-06
xenopus_tropicalis	12_2,6_0,10_0,8_0						8.458455980668787e-06			3.5679152193710902e-06					1.6346428015015366e-06	5.898987492211622e-06		1.2031386960671805e-05			6.1100118044233886e-06	9.871986249727447e-06					1.9105179763693967e-06			2.9448501827774465e-06						2.063399906132244e-05			1.30774554229155e-05				
bos_taurus	12_2,6_0,10_0,8_0					1.9385748683863443e-06				1.5770045127236719e-06				1.650047696699472e-06								1.415887072109855e-06					8.482359443331953e-07	2.4024147462818074e-06						2.2985187180312606e-06		7.321948390888704e-06	2.258385778096557e-06		1.7661324606856385e-05				
gorilla_gorilla	12_2,6_0,10_0,8_0					1.5543955837614134e-06						9.696034050385904e-07								1.2020055039507162e-06		6.917966750121505e-07					7.797156654811489e-07							1.7074266608816873e-06					1.3055895754954975e-05				
sus_scrofa	12_2,6_0,10_0,8_0					2.6866644721227803e-06																1.7033431854036832e-05			5.247537790773691e-06		2.405574986509055e-06	6.052174136849277e-06						2.715148630860802e-06									
homo_sapiens	12_2,6_0,10_0,8_0		4.275571226682301e-06	2.2121800437003657e-06	4.893306345314309e-06	1.7318377141593723e-06				3.0400852687387625e-06		7.925211142216369e-07		5.6123845899252435e-06				3.381210723820798e-06		1.5745887485301261e-06		3.1930303892557e-06	3.77633803205377e-06	4.044756695407729e-06	3.0657759712214713e-06	3.5388365211656747e-06	5.729683138837744e-07	3.8924779719771154e-06	2.6843124425594368e-06		4.4971703551213096e-06	8.98985913683875e-06	1.782112386939702e-06	1.4597195834347881e-06	3.3646402999258364e-06	1.311065954774868e-05		4.079929159549923e-06	7.79201483986749e-06	4.307068404923176e-06		8.603063734618893e-06	
rattus_norvegicus	12_2,6_0,10_0,8_0					1.9805764323023795e-06				1.936717965412904e-06				1.2569618412602813e-06								3.0270056974911726e-06					8.968735996000083e-07	2.43154539051714e-06								1.0366997880427793e-05	2.3172619757790747e-06		2.5507464214345225e-05				
