,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,prefrontal cortex,Ammon's horn,brown adipose tissue,cerebellum,cerebral cortex,female gonad,fibroblast,placenta,thymus,zone of skin,embryonic stem cell,adipose tissue,adrenal gland,adrenal tissue,frontal cortex,heart left ventricle,intestine,kidney,multi-cellular organism,muscle of leg,stomach,thoracic mammary gland,leukocyte,lymph node,prostate gland,temporal lobe,thyroid gland,bone marrow macrophage
10,"18_0,11_1,11_2,17_0",0.22624153084702525,0.6819501596675909,0.23629800536710185,0.32942798774163784,,0.20465363247295965,0.24864752963165918,,0.07986420493764056,bos_taurus,0.6939480970011277,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"18_0,11_0,17_0",0.6429862224670293,0.2598517991822149,1.0,0.7804516528984964,1.0,1.0,,,1.0,homo_sapiens,0.2152608345544706,,,0.6314991416063186,,0.8025008445291092,,1.0,,,,0.9487659155835965,1.0,1.0,0.2983500888261564,1.0,1.0,1.0,0.5221456849125775,0.5418512774706084,0.8467913854574961,1.0,,1.0,1.0,0.36170212765957455,1.0,
12,"18_0,11_1,11_2,17_0",0.3570137775329707,0.740148200817785,,0.21954834710150362,,,,,,homo_sapiens,0.7847391654455295,,,0.36850085839368146,,0.1974991554708909,,,,,,0.05123408441640356,,,0.7016499111738436,,,,0.47785431508742243,0.45814872252939165,0.15320861454250392,,,,,0.6382978723404256,,
13,"18_0,11_0,17_0",1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,mus_musculus,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14,"18_0,11_0,17_0",,,,1.0,,0.6,,,,sus_scrofa,0.2760235394433808,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"18_0,11_1,11_2,17_0",,,,,,0.4,,,,sus_scrofa,0.7239764605566192,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"13_0,6_0",0.15226093656171436,0.00289178996950499,0.1539344851491705,,0.33974173340140523,,,0.20239548474483482,0.0023261520361064275,bos_taurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"13_0,15_1,6_0",0.8477390634382856,0.997108210030495,0.8460655148508295,1.0,0.6602582665985948,1.0,1.0,0.7976045152551652,0.9976738479638936,bos_taurus,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"13_0,6_0",0.1320578787455407,,,,0.15238868467767755,0.19138602226161786,,,0.14440527859440763,homo_sapiens,,,,,,0.14853192596697817,,,,,,,,,,,0.3325682022039955,0.12893219002708717,0.00857328847527784,,0.10572224164156814,,,,,,,
19,"13_0,15_1,6_0",0.8679421212544594,1.0,1.0,1.0,0.8476113153223225,0.8086139777383822,,,0.8555947214055925,homo_sapiens,1.0,,,1.0,,0.8514680740330218,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.6674317977960045,0.8710678099729128,0.9914267115247223,1.0,0.8942777583584318,1.0,,1.0,1.0,1.0,1.0,
20,"13_0,15_1,6_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mus_musculus,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0
21,"13_0,15_1,6_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"13_0,6_0",,,,,,,,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
