Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
gorilla_gorilla	14_0,19_0,17_0						1.638980557146917e-06			1.0558156453621155e-06												1.4185937421653502e-06							
homo_sapiens	14_0,19_0,17_0					1.150856721612949e-06	1.0116186688808924e-06			4.027486276269208e-06	1.7869676695281442e-06		1.9639426197199368e-07						2.485511216034857e-06	8.677692950154246e-07		1.375877033169535e-06		1.3115301946250456e-06					
gorilla_gorilla	14_0,17_0																					6.487649710608501e-08							
homo_sapiens	14_0,17_0					7.414960499725348e-08				4.9976045795372575e-08																			
gorilla_gorilla	20_0,19_0,17_0						1.4186280692430154e-06			6.497327048382249e-07																			
homo_sapiens	20_0,19_0,17_0						8.631910269031382e-07			3.413207250446635e-06	1.7958501451516097e-06	9.559238757100484e-07	1.9981949355396094e-07						2.4155982521703674e-06	8.805453275901022e-07					3.2168561269863387e-07				
gorilla_gorilla	20_0,17_0									3.2486635241911244e-08	2.448460110650869e-07																1.7495291186115485e-08		
homo_sapiens	20_0,17_0			9.404881660255047e-08			6.442855192512835e-08	0.0	3.021614880317158e-08	1.3085869221453922e-07	2.0800742614541154e-06	4.106323296327457e-07	1.2272954134633252e-07				6.39985705279287e-08		1.2375198482114892e-07	5.6544221581821215e-08		5.996313945891183e-08	2.6388665244950938e-08		1.1191403157636905e-07				
gorilla_gorilla	7_1,19_0,17_0						1.7761676040639415e-06			6.497327048382249e-07	2.711538052911573e-07																0.0		
homo_sapiens	7_1,19_0,17_0	2.1971808060964212e-08	2.5449279614347073e-07	3.7894184619229877e-07		7.55899256983492e-07	1.046600561891921e-06	6.718616547741431e-08	1.6568890108503047e-08		2.9195840640063796e-06	1.751045518020621e-06	3.285969644105213e-07	1.8599138065239152e-07			3.8648959218445245e-08	9.561075196507497e-08	3.107020975471607e-06	1.4735307342526672e-06	0.0		6.910711827195715e-07	2.7628627825424917e-06	5.8374524400398e-07		1.0252292681567067e-07	2.963980495326237e-08	3.791174622192398e-07
gorilla_gorilla	7_1,17_0				2.846754662090528e-07		6.981774015414932e-08			2.274064466933788e-07	7.312231366142402e-08					2.2980719194291625e-07						1.738522745692436e-07					3.47401803995438e-07		
