Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	27_1,33_2				2.3222450313129197e-08	7.895184128937634e-06			8.272458197797002e-08																	5.9124481540635185e-06										
mus_musculus	27_1,10_1,25_0	4.87007905036339e-06				1.8224466617754357e-06	1.0774871186096807e-06	3.8385462563130804e-07			5.468482927268704e-08		2.5489011788973816e-08								6.233349251428793e-08											4.60871677797464e-08		4.978342385232033e-08		2.903184643488825e-08
monodelphis_domestica	27_1,10_1,25_0					4.086329453771057e-07	1.4071117170167735e-06					4.137520321606161e-08																				9.943274527778965e-08				
bos_taurus	27_1,10_1,25_0				9.173557166080939e-08	3.786342566880807e-06			4.5866815152836276e-08												3.9638482243571936e-08					4.866572493232044e-06						6.015803265934584e-08				
gorilla_gorilla	27_1,10_1,25_0						1.3270117942059586e-06							2.1116312907242306e-06												2.610111195559547e-06						1.6601500127093262e-07				
homo_sapiens	27_1,10_1,25_0			3.33543154995997e-07		2.440300349043774e-06	1.29531613534929e-06		1.3470324414862325e-08			4.532422320475737e-08		1.5238473097181866e-06		8.037931957353263e-08	1.788158570754895e-07	1.6805110690619265e-07	1.673683790519773e-07				2.3272208561295891e-07			2.0439816908442938e-06				1.824728736788839e-07		1.3157528570697598e-07			3.826259321691283e-08	
rattus_norvegicus	27_1,10_1,25_0				7.001111050851246e-08	5.189368614226385e-06			6.979291861775537e-08												4.095025384246734e-08											7.884195166850565e-08				
mus_musculus	27_1,33_2,25_0	5.710408010851703e-06				3.465206899850488e-06	1.5019310019786679e-06	6.20072856789036e-07																												2.622452565210802e-08
monodelphis_domestica	27_1,33_2,25_0					1.1249044485539287e-06	3.035148785614152e-06																													
bos_taurus	27_1,33_2,25_0				1.7416837734846898e-08	7.255460900569408e-06			1.1589586561234397e-07																	6.2310391656666766e-06										
gorilla_gorilla	27_1,33_2,25_0						7.766833413843826e-07							1.3806819977812278e-06												2.024741077236954e-06										
homo_sapiens	27_1,33_2,25_0					8.903398997524128e-07	5.17674195126178e-07							7.057058544309074e-07				1.2969023508615108e-07	3.2536049394453284e-08				6.375044933973839e-08			1.4809589679779461e-06				1.0458191729530199e-07	4.3416043791158407e-07					
mus_musculus	13_2,26_0,4_1	1.1051447498674292e-05				6.027217235662977e-06	7.258880181826571e-06	2.7903278555506613e-06	2.2296359540892468e-08											7.22252729375008e-08								4.688308674642518e-08								4.670530835664191e-08
monodelphis_domestica	13_2,26_0,4_1					2.3109066384641147e-06	7.474427225647118e-06																													
bos_taurus	13_2,26_0,4_1				1.1611225156564598e-08	9.409519972969972e-06			1.548005011408224e-07																	7.667873163294302e-06										
gorilla_gorilla	13_2,26_0,4_1						2.587759815525398e-06							6.919653306527094e-06												1.23290792970152e-05										
homo_sapiens	13_2,26_0,4_1			9.828264867097362e-08		6.517460598862084e-06	5.6270227586261185e-06							5.805770381583369e-06		5.319592329850046e-08		8.471803716492796e-08					1.0248785389371842e-07			6.1743237441107945e-06				1.0091025703311925e-07	1.0962551057267496e-05					
rattus_norvegicus	13_2,26_0,4_1					1.1308495971980768e-05																														
gorilla_gorilla	13_2,4_1				5.0171549069154714e-08		2.890172210539822e-06							2.891310536530099e-06		1.479020756133585e-07										4.9954902771685435e-06						9.962168509570395e-07				
mus_musculus	13_2,4_1	9.456177972755078e-06				2.9624694040437154e-06	3.540640931680302e-06	5.314910201048879e-07	1.2976525594963964e-08		2.551958699392062e-07	1.0273337252011155e-07	1.9116758841730364e-07			4.25568322816955e-08				3.5121934852450776e-08	1.1242437304047632e-07							1.875323469857007e-08	3.921879668014088e-08			4.115140262333699e-07		5.317523977072029e-08		4.821900614252762e-08
monodelphis_domestica	13_2,4_1					1.4430897375470771e-06	2.9883945536751726e-06					4.0940603822321216e-08																				2.764949556896631e-06				
homo_sapiens	13_2,4_1		5.123422622730314e-08	1.1536484055525916e-06	4.3271633177018865e-08	4.989861385026622e-06	5.85558389526252e-06		4.727022789969117e-08			6.07540401971719e-08		5.50320197381253e-06		2.396243653520798e-07	1.0608860600022606e-06	9.660666020382643e-08	1.3014419757781303e-07		2.55994282111715e-07	5.680836623626565e-08	9.665548668843616e-08	1.4601502524281776e-07		5.2012772528395966e-06				2.867415118176985e-07	6.295326349717973e-06	5.687302043908007e-07	3.0091169672073606e-08		2.783398193237778e-08	
bos_taurus	13_2,4_1				2.2023058644005375e-07	6.095609778158476e-06			1.6747938432706507e-07											1.2673181400053246e-08						9.19899183939168e-06						2.964211840831284e-07				
rattus_norvegicus	13_2,4_1				1.0149970146037414e-07	5.980774470289962e-06										1.7296079653289702e-08					3.255545740928446e-08								2.3438613059449078e-08							
