Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ornithorhynchus_anatinus	15_0,4_2					1.3155127931538437e-06				2.298252920658962e-06		5.564841738992292e-06						7.009922150385446e-06				2.2471567704044404e-06					8.617789579369456e-07													5.0726328503850475e-06				
mus_musculus	10_1,7_1,22_0,14_0	1.6889178150054117e-06				6.176311585473902e-07				5.871588911698941e-07		4.6261276501207536e-07	2.0176973911389265e-07	3.820018660038812e-07			3.706416206259899e-07	1.5269491328201027e-06	4.5880221220152876e-07			1.884073019327402e-07					2.2940889241789473e-07	1.0962140579251023e-06					1.6036067028828984e-06			1.3568871206829588e-07	6.565123505234238e-07			2.506099751401964e-07		2.4713230204372516e-06		5.121211922445272e-07
monodelphis_domestica	10_1,7_1,22_0,14_0									3.0881010243837213e-07								6.323916521421562e-07				5.7455104685477785e-08											1.6500196351903364e-07							4.1875681778171635e-07				
bos_taurus	10_1,7_1,22_0,14_0					5.473834572620312e-07				9.068583708970225e-07				6.084582803920558e-07								2.062582022957943e-07					4.214987493077983e-07	1.0047651671494186e-06						4.287672141763306e-07		5.710825028826518e-08	1.3492594652083097e-06			3.4350937308823435e-07				
gorilla_gorilla	10_1,7_1,22_0,14_0					8.045010789911179e-07						6.237792821228763e-07								4.872995286286684e-07														6.54702947065302e-07						5.840000971454776e-07				
sus_scrofa	10_1,7_1,22_0,14_0					3.834820387326704e-07																8.246013464790448e-07			7.035804859137908e-07		8.356317387858184e-07	2.6756980394491547e-06						1.2493274049626654e-06										
ornithorhynchus_anatinus	10_1,7_1,22_0,14_0					6.270534226544007e-07				7.531158276989831e-07		1.4825472883836886e-06						2.304653086292005e-06				6.635385532289227e-07					3.5067997762269737e-07													1.0106580230218678e-06				
homo_sapiens	10_1,7_1,22_0,14_0		1.0183244516365433e-06	3.4081509445563463e-07	5.267912486009301e-07	4.908620943505474e-07				5.879596073366752e-07				5.36443830077676e-07				4.43073613933643e-07		3.2025684620709853e-07		4.2849987565417437e-07	1.2118360827745643e-07	9.751906341882701e-07	8.42588972139564e-07	5.468108649789874e-07	1.5281481233756768e-07	6.159927929281926e-07			5.461827266823543e-07	9.196558813665895e-08	2.7792636221512073e-07	5.03726141664901e-07				7.545536105928275e-07		5.708629927095293e-07	5.002092987606211e-07		9.57675267193427e-07	
monodelphis_domestica	10_1,14_0					1.751320628075712e-07				3.5396334274784044e-07		1.3016956086999434e-07						1.4260682795406143e-06				5.4389353181265065e-08					2.880765882267881e-07						4.267594092479399e-07							4.396104958973927e-07				
homo_sapiens	10_1,14_0		1.3183084836578519e-07	1.667474029800662e-08		1.0828935522135541e-07												6.043229760634312e-08							8.551262983061915e-08			1.0886070625151908e-07			3.19958604098413e-08									1.3643574389460951e-08				
ornithorhynchus_anatinus	10_1,14_0					3.9025057178513215e-07				1.7836470475308745e-07		8.247815425706858e-07						8.439866066295889e-07				2.034987212556252e-07					1.7903826935646102e-07													2.327110887787388e-07				
mus_musculus	10_1,7_1,14_0	3.0233468871807474e-06				9.000431474057209e-07			2.1308905272289454e-07	1.0473757412583547e-06	1.1703728331185381e-07	6.539181265392213e-07	2.2883641143404902e-07	4.485090613327268e-07			3.098806992118932e-07	2.052918063929452e-06	5.288969946212068e-07			2.556905437629923e-07					3.9803868308474705e-07	1.3219956589719027e-06					1.7637369281715287e-06			1.4402413114620844e-07	6.966714206878735e-07			3.1844955994871574e-07		3.434280686296885e-06		6.608397496583415e-07
monodelphis_domestica	10_1,7_1,14_0									1.0552012446912698e-07								2.573274385353089e-07																						1.3689890344114382e-07				
bos_taurus	10_1,7_1,14_0					8.524863040204164e-07				2.3207029931236675e-06				3.6542864123774384e-07								3.055367202380947e-07					5.603184044960021e-07	9.649773609171864e-07						1.0031054204286738e-06		1.0010661987993641e-07	1.7414793362355575e-06			2.1857425003595484e-07				
gorilla_gorilla	10_1,7_1,14_0					1.7164368673192084e-06						1.429289971045908e-06								1.2020055039507158e-06		2.2019566512952727e-07					3.947919090785985e-07							1.7306789841769814e-06						1.0562617819107285e-06				
sus_scrofa	10_1,7_1,14_0					9.495181781701958e-07																1.2244080599234304e-06			1.231265850349134e-06		1.5453375181648756e-06	3.0579406165133205e-06						2.2512447116845507e-06										
ornithorhynchus_anatinus	10_1,7_1,14_0					1.5588797648218438e-07				2.7896748957375594e-07		8.190686376433202e-07						1.2382031900670058e-06				1.8348065396902447e-07					1.51650247836118e-07													1.7643625764504644e-07				
homo_sapiens	10_1,7_1,14_0		1.8341755276472789e-06	7.056255792328638e-07	1.2205762325008734e-06	1.1317269287199153e-06				1.4689192800064096e-06		6.2366354880589e-07		1.1545632667091399e-06				9.527865448077267e-07		7.693637016158155e-07		8.74702329822668e-07	3.5146976527082804e-07	2.07084868827832e-06	1.6392849511659522e-06	1.3472621271930462e-06	3.212995642692047e-07	1.504223237895073e-06	7.476964369575964e-07		9.937891037863164e-07	1.3772402982304682e-07	6.446359095693137e-07	1.2950573577528623e-06	1.2557711606993107e-06	2.103047932534647e-07		1.5655305512304714e-06	2.1708021895579206e-07	1.1538926245394708e-06	1.1949580160458276e-06		1.704321831100189e-06	
monodelphis_domestica	10_1,14_0					1.751320628075712e-07				3.5396334274784044e-07		1.3016956086999434e-07						1.4260682795406143e-06				5.4389353181265065e-08					2.880765882267881e-07						4.267594092479399e-07							4.396104958973927e-07				
homo_sapiens	10_1,14_0		1.3183084836578519e-07	1.667474029800662e-08		1.0828935522135541e-07												6.043229760634312e-08							8.551262983061915e-08			1.0886070625151908e-07			3.19958604098413e-08									1.3643574389460951e-08				
ornithorhynchus_anatinus	10_1,14_0					3.9025057178513215e-07				1.7836470475308745e-07		8.247815425706858e-07						8.439866066295889e-07				2.034987212556252e-07					1.7903826935646102e-07													2.327110887787388e-07				
mus_musculus	10_1,7_1,22_0	2.199287679976377e-06				7.566672739490615e-07				7.322691591265927e-07	1.1703728331185381e-07	6.443470266847662e-07	2.73127329776123e-07	4.802933632287404e-07			5.195058780905269e-07	1.8766276231600076e-06	6.627143065133194e-07			2.188766337191931e-07					2.9806687307677825e-07	1.3219499441924964e-06					1.9162720971993827e-06			1.5546541310500698e-07	6.939275418993702e-07			2.832155383109019e-07		3.097684612748552e-06		5.943461422815642e-07
monodelphis_domestica	10_1,7_1,22_0									2.799329495641546e-07								5.460846622602594e-07				2.3844977885213707e-08											1.4239507881012692e-07							2.7519549524684583e-07				
bos_taurus	10_1,7_1,22_0					6.484782865443054e-07				1.2616039624045763e-06				4.901544487724608e-07								2.2839573298855697e-07					4.1437649626522627e-07	1.0403259793626166e-06						5.183756851993422e-07		5.127867059420178e-08	1.7147349645252433e-06			3.209573724020809e-07				
gorilla_gorilla	10_1,7_1,22_0					1.0518709981148616e-06						8.778559843479756e-07								7.147059753220471e-07		1.5939852443588316e-07												9.496161720449104e-07						7.984599235784111e-07				
sus_scrofa	10_1,7_1,22_0					5.361851824589991e-07																1.0494926227915116e-06			9.234493877618504e-07		1.1078630879754997e-06	3.5357438378435258e-06						1.6112416133925727e-06										
ornithorhynchus_anatinus	10_1,7_1,22_0					3.7681771492855746e-07				6.599591986247451e-07		1.0270624505849703e-06						1.9559372822086116e-06				4.1133286080753227e-07					2.502353562215017e-07													4.555689449254881e-07				
homo_sapiens	10_1,7_1,22_0		1.2898919936886765e-06	4.494041540102713e-07	7.450776444957303e-07	6.79424173770474e-07				8.205570592732173e-07		3.896790624768404e-07		7.375623079375485e-07				5.368447466703511e-07		4.2228302065162413e-07		5.754880592409731e-07	1.489878445432265e-07	1.388027982968006e-06	1.1439595261523894e-06	7.743529956454497e-07	1.9351855040852802e-07	8.750448192553263e-07			7.648009280770064e-07	1.0645950898033736e-07	3.445227023929432e-07	6.56254327106768e-07		1.4465518939361803e-07		1.0596628452168802e-06		6.968909271491569e-07	6.714092586365157e-07		1.2869618659322711e-06	
