,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,prefrontal cortex,kidney,cerebellum,female gonad,placenta,frontal cortex,multi-cellular organism,adrenal tissue,heart left ventricle,intestine,stomach,thyroid gland,mesonephros,embryo,gastrula,adipose tissue,adrenal gland,muscle of leg,prostate gland,temporal lobe,thoracic mammary gland
56,"5_10,5_11,1_1",,,,1.0,1.0,,,,1.0,gorilla_gorilla,1.0,,,,,1.0,,,,,,,,,,,,,,,
57,"5_10,1_1",,,,0.002850206627027367,,,,,,homo_sapiens,,,,,,,,,,,,,,,,,,,,,
58,"5_10,5_11,1_1",1.0,1.0,,0.9971497933729726,,1.0,,,1.0,homo_sapiens,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
59,"5_10,5_11,1_1",,1.0,,1.0,,,,,1.0,monodelphis_domestica,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
60,"5_10,1_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
61,"5_10,1_1",,,,0.012940330697340045,,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,
62,"5_10,5_11,1_1",,,,0.98705966930266,1.0,1.0,,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,
63,"5_10,5_11,1_1",,1.0,,1.0,,,,,1.0,xenopus_tropicalis,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
64,"5_4,9_0,9_1,8_0",1.0,1.0,,1.0,1.0,1.0,,,1.0,bos_taurus,1.0,,,,,,,,,,,,,,,,,,,,
65,"5_4,8_0",,,,1.0,,,,,,gorilla_gorilla,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
66,"5_4,8_0",,,,0.006370261587987383,,,,,,homo_sapiens,,,,,,,,,0.017780452943591197,,,,,,,,,,,,
67,"5_4,9_0,9_1,8_0",,1.0,,0.9936297384120125,,1.0,,,1.0,homo_sapiens,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9822195470564088,1.0,1.0,1.0,,,,,,1.0,,,
68,"5_4,9_0,9_1,8_0",,1.0,,1.0,,,,,1.0,monodelphis_domestica,,,,,1.0,,,,,,,,,,,,,,,,
69,"5_4,9_0,9_1,8_0",1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,
70,"5_4,9_0,9_1,8_0",,,,1.0,1.0,1.0,,,,sus_scrofa,1.0,,,,,,,,,,,,,,,,,,,,
71,"5_4,9_0,9_1,8_0",,,,1.0,1.0,,,,1.0,xenopus_tropicalis,,,,,,,,,,,,,1.0,1.0,,,,,,,
