TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMODT00000011714	ENSMODE00000253038	9_6				monodelphis_domestica	1	GSE30352																													3.179330384695161e-08																																
ENSMODT00000011714	ENSMODE00000253037	9_7	ENSMODT00000011714	ENSMODE00000253036	9_8	monodelphis_domestica	10	GSE30352												1.549160427789088e-07																	1.9451270485612085e-06																																
ENSMODT00000011714	ENSMODE00000253037	9_7	ENSMODT00000011714	ENSMODE00000253036	9_8	monodelphis_domestica	10	GSE43520												3.7264507526941425e-07										8.275040643212323e-08																										1.886681816513271e-07									1.2129587270415417e-07				
ENSMODT00000011714	ENSMODE00000253037	9_7				monodelphis_domestica	1	GSE30352																													3.179330384695161e-08																																
ENSMODT00000011714	ENSMODE00000253037	9_7	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	3	GSE30352														8.616800209836318e-08															0.0																																
ENSMODT00000011714	ENSMODE00000253036	9_8	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	15	GSE30352												1.3207518740943197e-07		2.5850400629508957e-07															2.2593133013780236e-06						7.712993347157589e-08																						1.3818428252116186e-07				
ENSMODT00000011714	ENSMODE00000253036	9_8	ENSMODT00000011714	ENSMODE00000096237	5_9	monodelphis_domestica	15	GSE43520												1.3974190322603035e-07										1.026412424849633e-07																										1.6496330195130366e-07									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000096237	5_9	ENSMODT00000011714	ENSMODE00000096223	5_10	monodelphis_domestica	7	GSE30352												3.426128305421522e-08		1.741711196416255e-07															1.4121344544684323e-06																																
ENSMODT00000011714	ENSMODE00000096237	5_9	ENSMODT00000011714	ENSMODE00000096223	5_10	monodelphis_domestica	7	GSE43520																						2.0470301911160609e-07																										3.963201934253915e-07									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000096223	5_10	ENSMODT00000011714	ENSMODE00000253033	5_11	monodelphis_domestica	9	GSE30352												8.589996398051816e-08		1.7233600419672637e-07															1.1322393626003693e-06																																
ENSMODT00000011714	ENSMODE00000096223	5_10	ENSMODT00000011714	ENSMODE00000253033	5_11	monodelphis_domestica	9	GSE43520																						1.438715792364448e-07																										2.6421346228359433e-07									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000253033	5_11	ENSMODT00000011714	ENSMODE00000096225	1_1	monodelphis_domestica	13	GSE30352												9.458866291656201e-08		1.2971078200876956e-07															2.92538433437488e-06																												3.741706507526068e-07				
ENSMODT00000011714	ENSMODE00000253033	5_11	ENSMODT00000011714	ENSMODE00000096225	1_1	monodelphis_domestica	13	GSE43520												4.658063440867678e-08										1.2282181146696367e-07																										1.429455134276708e-07									2.4259174540830836e-08				
ENSMODT00000011714	ENSMODE00000253033	5_11	ENSMODT00000011714	ENSMODE00000096227	1_4	monodelphis_domestica	2	GSE30352																													0.0																																
ENSMODT00000011714	ENSMODE00000096225	1_1	ENSMODT00000011714	ENSMODE00000253032	5_12	monodelphis_domestica	10	GSE30352												6.032737986234678e-08																	2.2987155119484856e-06																																
ENSMODT00000011714	ENSMODE00000096225	1_1	ENSMODT00000011714	ENSMODE00000253032	5_12	monodelphis_domestica	10	GSE43520												4.658063440867678e-08										1.4358184630728454e-07																										3.112829977317556e-07									7.27775236224925e-08				
ENSMODT00000011714	ENSMODE00000096225	1_1	ENSMODT00000011714	ENSMODE00000096227	1_4	monodelphis_domestica	4	GSE30352												3.426128305421522e-08		1.741711196416255e-07															1.166191104310894e-06																																
ENSMODT00000011714	ENSMODE00000253032	5_13	ENSMODT00000011714	ENSMODE00000096227	1_4	monodelphis_domestica	4	GSE30352												8.639347667047834e-08																	6.032785991975167e-07																												1.2472355025086896e-07				
