Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
homo_sapiens	3_0,11_0	6.588209826794593e-08	8.25602289822112e-08	2.0699501253865774e-07	5.565149839010494e-07	2.8831900188041203e-06	3.555970328901261e-06	8.751574454738079e-08		8.258459822991296e-08	1.277752280513791e-06		7.483508179697799e-07	7.615340623217377e-07	4.2561946867984537e-07	2.937683237445984e-06		8.529689405879208e-07		4.356756910912221e-07	6.05064897235944e-08	1.819259850896179e-07	2.9366450818991538e-06	1.261837792979972e-07			5.055676609844575e-07	3.2562032843368806e-06	1.8945267117402574e-07	3.1539307565825864e-07	2.9633766595792295e-06
bos_taurus	3_0,11_0				1.9229101064651316e-07	2.9112030771068115e-06		6.726090911869096e-08					8.70745906775873e-08				4.039026501347957e-07	1.2392151505582881e-06					1.782588881106043e-06		2.564337600985885e-07	5.626745673819472e-07			2.7944572629589946e-07		
rattus_norvegicus	3_0,11_0				8.552974240428663e-07	3.0535770986900926e-06		1.3837353282005224e-07					1.3899701380814257e-07				1.7616669809040143e-08	6.42636472011688e-06							1.7690098729679318e-08	5.114153546410614e-07			1.4734910547158376e-07		
monodelphis_domestica	3_0,13_0,4_0,11_0,2_0												6.930541085416092e-06																		
bos_taurus	3_0,13_0,4_0,11_0,2_0												2.9028800741301726e-06																		
gorilla_gorilla	3_0,13_0,4_0,11_0,2_0												2.352397743949921e-06																		
sus_scrofa	3_0,13_0,4_0,11_0,2_0												6.417522448772141e-05																		
rattus_norvegicus	3_0,13_0,4_0,11_0,2_0												2.1569242360680806e-06																		
monodelphis_domestica	3_0,2_0					4.658063440867678e-08							4.644102721952716e-08																		
sus_scrofa	3_0,2_0																1.2616624926665867e-07	9.556064426604117e-08					9.008251828922845e-08								
gorilla_gorilla	3_0,13_0,11_0						1.0472661023122391e-07																								
homo_sapiens	3_0,13_0,11_0					3.6025745703566844e-08							8.547355033821232e-06							5.133339048166159e-07											
bos_taurus	3_0,13_0,11_0					3.339515932975861e-08							1.2972223079746245e-06										8.797369372053023e-08								
gorilla_gorilla	3_0,11_0				6.461326323972726e-07		2.441884568919633e-06				2.1766045612080533e-06						2.1389442625286745e-07						3.9625560171892864e-06						2.9266559737310547e-07		
sus_scrofa	3_0,11_0				1.561515025600259e-07								6.246979897568518e-07			8.794756073922388e-08	2.4569603116776895e-06	1.433409663990618e-05					4.269732172582717e-06								
monodelphis_domestica	3_0,11_0				1.893696245819675e-07	6.816928409371929e-07	1.8649990743678776e-06			2.687215212075303e-07			1.393230816585815e-07									1.4120860634448386e-07									
homo_sapiens	3_0,11_0	6.588209826794593e-08	8.25602289822112e-08	2.0699501253865774e-07	5.565149839010494e-07	2.8831900188041203e-06	3.555970328901261e-06	8.751574454738079e-08		8.258459822991296e-08	1.277752280513791e-06		7.483508179697799e-07	7.615340623217377e-07	4.2561946867984537e-07	2.937683237445984e-06		8.529689405879208e-07		4.356756910912221e-07	6.05064897235944e-08	1.819259850896179e-07	2.9366450818991538e-06	1.261837792979972e-07			5.055676609844575e-07	3.2562032843368806e-06	1.8945267117402574e-07	3.1539307565825864e-07	2.9633766595792295e-06
bos_taurus	3_0,11_0				1.9229101064651316e-07	2.9112030771068115e-06		6.726090911869096e-08					8.70745906775873e-08				4.039026501347957e-07	1.2392151505582881e-06					1.782588881106043e-06		2.564337600985885e-07	5.626745673819472e-07			2.7944572629589946e-07		
rattus_norvegicus	3_0,11_0				8.552974240428663e-07	3.0535770986900926e-06		1.3837353282005224e-07					1.3899701380814257e-07				1.7616669809040143e-08	6.42636472011688e-06							1.7690098729679318e-08	5.114153546410614e-07			1.4734910547158376e-07		
monodelphis_domestica	3_0,13_0,4_0												4.323213778217014e-06																		
bos_taurus	3_0,13_0,4_0												2.4241708104451177e-06																		
gorilla_gorilla	3_0,13_0,4_0						9.272180891341348e-08						2.2369660490465223e-06																		
sus_scrofa	3_0,13_0,4_0												4.953855058771837e-05																		
homo_sapiens	3_0,13_0,4_0			8.127179303130134e-08									1.4164062258233124e-05	7.65233712798091e-06	6.87856452510822e-08			6.39985705279287e-08		1.1629158148105107e-06											
rattus_norvegicus	3_0,13_0,4_0							6.133233958587912e-08					1.9045326469788158e-06																		
homo_sapiens	3_0,4_0												4.881270375983714e-08	5.335271673100648e-08																	
xenopus_tropicalis	3_0,4_0								9.902725527146837e-08			8.570749523187777e-08																			
monodelphis_domestica	9_3,5_8,9_4					7.281851248287539e-08				5.146548770706177e-08			1.6877431512179017e-06									1.485350165465504e-07							5.52653510579783e-08		
xenopus_tropicalis	9_3,5_8,9_4					1.317576665890164e-07							7.453889268564835e-06						1.569450008667385e-07										2.2738601550144152e-07		
bos_taurus	9_3,5_8,9_4				5.623920043398934e-08	5.442684800238127e-07		1.5350664091053976e-07					6.5370174534286494e-06				1.1957351273405274e-07	2.6536435137797566e-06					2.5761009641236456e-07		5.768682078816121e-08	5.426200677682275e-08			3.967954007675915e-07		
gorilla_gorilla	9_3,5_8,9_4						8.18225414719597e-08				6.497327048382249e-08		1.1555600352518654e-06				1.099898114237882e-07												3.1678504441973576e-08		
sus_scrofa	9_3,5_8,9_4												9.601608102562815e-05			1.319213411088358e-07	3.649168312912405e-07	2.9623799722472773e-06					3.3688540954433775e-07								
homo_sapiens	9_3,5_8,9_4			8.954080134204854e-08	1.1762775368752884e-07	1.0836813159720123e-07	5.637498293448731e-08			2.789994590969239e-07	8.844740793843015e-08		1.2949054807124494e-05	6.3250709526920635e-06	1.652205376351332e-07	3.813543321517856e-07	4.070383174655605e-08	1.9961700121279247e-07		2.546059926845165e-06	6.593100333599467e-08	2.1316686301793184e-07	1.0410169710934201e-07				1.0050638147325646e-07		9.99942847319358e-08		2.052263042747104e-07
rattus_norvegicus	9_3,5_8,9_4				1.3155023190546088e-07	2.496592383271859e-07		3.421911205325998e-08					3.9235615811230894e-06					4.3885081999052366e-07								2.0961216597740064e-07			6.012984758156493e-08		
xenopus_tropicalis	9_3,9_4								1.056781057579984e-07				2.365128078583745e-06																		
sus_scrofa	9_3,9_4												2.498791959027407e-07																		
homo_sapiens	9_3,5_8,9_5												6.238190651550447e-06	3.827603964362806e-06						1.729503574671493e-06											
sus_scrofa	9_3,5_8,9_5												5.1849933149818726e-05				2.4093007673291393e-07														
xenopus_tropicalis	9_3,9_4,9_5								1.0334202210257185e-07				4.660772661532486e-06																		
sus_scrofa	9_3,9_4,9_5												4.5078206940854444e-05																		
monodelphis_domestica	5_4,9_0,9_1,8_0					9.604271193674606e-08							2.330621955541513e-06									1.7614230818906288e-07							7.200386839592792e-08		
xenopus_tropicalis	5_4,9_0,9_1,8_0								8.910428527043008e-08				9.79753864576455e-06				8.736411285035899e-08		3.517408104720678e-07										1.2450674785943772e-07		
bos_taurus	5_4,9_0,9_1,8_0				6.523570964935293e-08	2.811143658399383e-07							1.5198588551568192e-05				6.663645519388178e-08	1.7460623318709402e-06					3.008365857365639e-07						2.297945855176242e-07		
sus_scrofa	5_4,9_0,9_1,8_0												4.1829777394118814e-05				1.4493624236827672e-07	2.134187721941588e-06					2.1207587358677372e-07								
homo_sapiens	5_4,9_0,9_1,8_0					7.526744314271767e-08				3.9887014929595536e-07	3.5142413686629747e-07		1.0125459812255432e-05	3.4580943670109775e-06	1.0648274270806484e-07	4.266815288157259e-07		2.1621191969970591e-07		6.3191429810566285e-06	5.0197572927114446e-08	5.253737888144638e-07	9.916035528401626e-08				8.060102725580657e-08		3.2993291450140917e-07		1.5537595932208723e-07
rattus_norvegicus	5_4,9_0,9_1,8_0				6.845106913305368e-08	2.1631243830073774e-07		1.0900608145323212e-07					3.505935357513726e-06				8.808334904520072e-09	4.372102846202922e-07								1.633972043426211e-07			6.832261998161716e-08		
gorilla_gorilla	5_4,8_0						5.7812938836338855e-08				3.2486635241911244e-08		2.193669409842719e-07										1.322978410712209e-07								
homo_sapiens	5_4,8_0												6.491535549832223e-08	6.259953220377654e-08																	
monodelphis_domestica	8_0,9_2,9_3					7.755937413439514e-08	1.7279478305795118e-07						2.295138435914899e-06									5.656145050952993e-08							7.449136239584988e-08		
bos_taurus	8_0,9_2,9_3												4.338565658849499e-06					7.117440850414378e-07					7.360288468924702e-08						4.8803751124636684e-08		
gorilla_gorilla	8_0,9_2,9_3										3.2486635241911244e-08		5.225239203072371e-07																		
sus_scrofa	8_0,9_2,9_3												6.501856677389318e-05																		
homo_sapiens	8_0,9_2,9_3			5.583893572515772e-08	5.787273958015373e-08	6.831921212245306e-08	5.983838308070262e-08			5.262830173934367e-08	7.48021800563738e-08		1.060644502654191e-05	2.489283531625609e-06	9.6044595579484e-08	1.932159947023594e-07		1.3275789987449562e-07		1.035905362551611e-06		8.288130202818033e-08	1.4824025475977223e-07				9.533569582025499e-08			6.697166409409734e-08	1.391315555134411e-07
rattus_norvegicus	8_0,9_2,9_3				8.279182233053275e-08	1.1779773284207206e-07		2.5381737095628743e-08					2.8121514798086825e-06					1.253096772345477e-07								6.40436300914982e-08			1.0834347229604325e-08		
bos_taurus	8_0,9_3				5.364252023717718e-08	3.219257736975117e-07							1.503952911104618e-07				6.411537710511395e-08	1.3897215794706706e-06					1.4720576937849404e-07			5.164782448581782e-08			2.1858414063815372e-07		
homo_sapiens	8_0,9_3															4.4631567747193945e-08											6.419322880835477e-08		3.906136579221592e-08		
sus_scrofa	8_0,9_3												7.246496681179488e-07				2.0672281133170352e-07	3.0579406165133176e-06					8.633348788109846e-08								
rattus_norvegicus	8_0,9_3				1.0321391620846569e-08	8.500521428687859e-08		3.384231612750499e-08					3.2540563146355417e-07				4.227667147479252e-08	1.0213528587329202e-07								5.398005253793613e-08			1.2675874441541437e-07		
monodelphis_domestica	8_0,9_2,9_3,5_8,9_4					7.518894330863527e-08							1.9914407935664e-06									1.0254823352804016e-07							6.48783567269141e-08		
bos_taurus	8_0,9_2,9_3,5_8,9_4												5.4377915561390745e-06					1.6826937994105974e-06					1.656064905508058e-07						2.2279957594611413e-07		
gorilla_gorilla	8_0,9_2,9_3,5_8,9_4										4.872995286286686e-08		8.390419777795514e-07																		
sus_scrofa	8_0,9_2,9_3,5_8,9_4												8.051732389976067e-05																		
homo_sapiens	8_0,9_2,9_3,5_8,9_4			7.268986853360313e-08	8.775024663384129e-08	8.834367185982715e-08	5.810668300759497e-08			1.658138804181338e-07	8.162479399740198e-08		1.1777749916833202e-05	4.407177242158836e-06	1.306325666073086e-07	2.872851634270725e-07		1.6618745054364403e-07		1.790982644698388e-06		1.480240825230561e-07	1.2617097593455711e-07				9.792103864675574e-08				1.7217892989407573e-07
rattus_norvegicus	8_0,9_2,9_3,5_8,9_4				1.0717102711799682e-07	1.83728485584629e-07		2.9800424574444363e-08					3.367856530465886e-06					2.820802486125357e-07								1.3682789803444943e-07			3.5482097405584635e-08		
homo_sapiens	8_0,9_4												1.561162291056073e-07	7.152634283019582e-08						3.12722676763529e-08											
sus_scrofa	8_0,9_4												3.24842954673563e-07																		
homo_sapiens	8_0,9_2,9_3,5_8,9_5												8.42231783904618e-06	3.1584437479942076e-06						1.3827044686115519e-06											
sus_scrofa	8_0,9_2,9_3,5_8,9_5												5.843424996185595e-05																		
homo_sapiens	8_0,9_4,9_5												6.504371727393121e-06	2.240392941476906e-06						1.6612749809197484e-06											
sus_scrofa	8_0,9_4,9_5												4.511568882023985e-05																		
