Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	4_2,2_0,2_2,11_0					2.697532473749292e-06					3.372733574763991e-06						8.229947594617516e-07	7.015668950244458e-06					1.2642894427876773e-06						2.151382753188078e-06						9.199074981254292e-07				
sus_scrofa	4_2,2_0,2_2,11_0					1.4808626886005392e-06												7.083242273189692e-05			2.6677426757564574e-06		1.01957222114239e-06	9.269382493805999e-06					1.0291021850347495e-06										
homo_sapiens	4_2,2_0,2_2,11_0		3.580608235348805e-06	8.709153178214364e-06	7.878868193345493e-06	2.9526227528186157e-06			1.204633902250914e-06		5.618286681547884e-07		4.893963451206456e-05		9.984229225773475e-06		5.706741762871375e-07	6.326168528618689e-06	3.036184783527576e-05	3.1857414792131855e-06	1.076492124994744e-06		1.6820205670152942e-07	5.218722899712563e-06	5.1752521962751155e-06	1.0145259155755651e-05	0.0002921719776792842	7.238488885852662e-06	5.852085529213135e-07	4.253224271244709e-05			1.2796979257493771e-05		9.319189856897897e-06	1.964611817349229e-05		3.503634005654133e-05	
rattus_norvegicus	4_2,2_0,2_2,11_0								6.690759332507289e-07				4.201424236948228e-05					2.4451748535882327e-06						3.2455820960068353e-06							0.00032221758308211414	3.195013119120518e-06			1.1335973822162442e-06				
homo_sapiens	4_2,11_0				4.972016991171985e-08																					1.5951243556554992e-08	6.228652320314401e-08								2.7087270790787775e-08				
bos_taurus	4_2,11_0					5.58493230100001e-08							7.071024383459237e-07					9.096127406620096e-08					3.8019544200159715e-08	7.927696448714385e-08							1.3890162005340213e-07	6.843336744370862e-07			8.371325197521418e-08				
rattus_norvegicus	4_2,11_0												2.4603706863366415e-08											1.346907432825765e-08							1.0081118145514644e-07								
mus_musculus	4_2,11_0																											2.988399332630661e-08			2.774676279669233e-07						3.784435954609022e-08		4.8543428460061615e-08
mus_musculus	4_2,2_0,11_0	2.5518478369122476e-07				1.1905130290233938e-06		7.52079009610216e-08	2.0420053026826884e-07		1.5997459998178054e-07		2.665204237453739e-05	1.731686260301756e-07	9.191997480485644e-06	2.669973984895008e-06		1.1488222991648875e-06					2.2441311190113007e-07	3.987544665458786e-06				1.2005129465297272e-05			9.141764141093125e-07	3.150055084257193e-06			1.6955479161294189e-06		2.229401497785299e-06		2.4560430304054373e-06
bos_taurus	4_2,2_0,11_0					7.5894535991444274e-06			1.8154399083479359e-06				0.0009285050185814437					6.5039947790473954e-06					2.3675197602599793e-06	3.8170160210344586e-05					1.5886019122225127e-06		3.851393367793399e-06	9.022404374815612e-05			6.971168710487259e-06				
gorilla_gorilla	4_2,2_0,11_0					4.713913332579154e-06					1.088177373048219e-06						1.3157087272974055e-06	7.178311911787329e-06					2.5907695245579345e-06						3.094140076996133e-06						2.014366237562444e-06				
sus_scrofa	4_2,2_0,11_0					3.4888537760188395e-06												1.0419962469144295e-05			6.596067055441789e-06		2.2305676822366815e-06	3.186947486272475e-05					1.0069071982248835e-06										
homo_sapiens	4_2,2_0,11_0		1.69028595581097e-05	3.967506724571856e-05	9.501444765965932e-06	8.101502642552373e-06			2.432648406449123e-06		2.7260372526073136e-07		0.00020159915200947318		3.329544976159815e-05		7.754717688665917e-07	5.564133589456653e-06	2.5149846794011504e-05	1.1119235739317623e-05	1.8177488054517217e-06		3.881529010945476e-07	1.2760466515484119e-05	1.548361481858896e-05	1.8816855232164504e-05	1.4161337438202472e-06	2.4750290747191837e-05	7.980998640573884e-07	0.00012206064756247937	3.644239270531e-06		3.7513007225006324e-05		2.814474822523354e-05	1.2704774418964605e-05		7.725097026741384e-06	
rattus_norvegicus	4_2,2_0,11_0					2.196357516763401e-06			8.700220831138423e-07				0.00011191001019155656					4.34932680411391e-06					5.047543636254366e-07	9.287464809783501e-06							1.428810806788734e-06	7.76340075658426e-06			2.873043528125824e-06				
homo_sapiens	4_2,11_0				4.972016991171985e-08																					1.5951243556554992e-08	6.228652320314401e-08								2.7087270790787775e-08				
