,path,colon,lung,skeletal muscle tissue,adult mammalian kidney,brain,heart,liver,spleen,testis,Species,prefrontal cortex,kidney,female gonad,placenta,cerebellum,frontal cortex,thymus,zone of skin,Ammon's horn,bone marrow macrophage,embryonic stem cell,fibroblast,bone marrow,brown adipose tissue,multi-cellular organism,muscle of leg,adrenal tissue,adipose tissue,adrenal gland,heart left ventricle,intestine,lymph node,prostate gland,stomach,thoracic mammary gland,thyroid gland,cerebral cortex,leukocyte
13,"4_2,11_0,5_0",,,,,,,,,0.2232922377277877,homo_sapiens,,,,,,,,,,,,,,,0.24218514346010503,0.15055758387757842,0.20211230302087396,,,,,,,,,,,
14,"4_2,2_2,5_0",,,,,,,,,,homo_sapiens,,,,,,,,,,,,,,,0.05040877320719926,0.19501223346254612,,,,,,,,,,,,
15,"4_2,2_2,11_0,5_0",,,,,1.0,1.0,,,,monodelphis_domestica,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,"4_2,2_2,11_0,5_0",0.247730388013026,0.17221055717201667,0.47352226602772235,0.18360369952006456,0.4297552835872781,0.25548883619597623,0.42204772461653683,0.16723736651767435,0.18538698829263495,mus_musculus,,,0.22318071003877474,0.23374547505912677,0.6639540441501791,,0.14869188097271008,0.3954986859165186,0.46608023248075886,,0.36170212765957455,0.3977566867989646,1.0,1.0,,,,,,,,,,,,,,
17,"4_2,2_0,11_0,5_0",0.7522696119869741,0.5529550511202148,0.12279989871289025,0.5212901991991749,0.2776808592087175,0.4638003988049102,0.577952275383463,0.5545193638833021,0.5347413234426509,mus_musculus,,,0.5146503990810157,0.3341178584327507,0.33604595584982094,,0.4778141077924304,0.15775716685863359,0.5339197675192411,1.0,0.6382978723404256,0.6022433132010354,,,,,,,,,,,,,,,,
18,"4_2,11_0,5_0",,,0.18341645054069608,,,,,,,mus_musculus,,,,0.21631063348488277,,,0.16002716655814284,0.22899976795626598,,,,,,,,,,,,,,,,,,,,
19,"4_2,2_0,2_2,11_0,5_0",,0.27483439170776847,0.22026138471869136,0.2951061012807605,0.2925638572040043,0.2807107649991137,,0.27824326959902346,0.2798716882647143,mus_musculus,,,0.2621688908802095,0.21582603302323974,,,0.21346684467671662,0.21774437926858184,,,,,,,,,,,,,,,,,,,,
20,"4_2,2_0,2_2,11_0,5_0",0.23046200287388754,0.21855796098107738,0.2064854737247616,,0.2781603751609513,0.29152846855955733,,0.2897247194389629,0.2870693993949755,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"4_2,2_2,11_0,5_0",0.13008070919545156,0.14284165050229627,0.482831520328782,0.2271369465332252,0.37944289380305696,0.2757234136873671,,0.18101004410028604,0.18068809924439214,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"4_2,2_0,11_0,5_0",0.4452419211685393,0.4297124730653039,0.12453197772004193,0.7728630534667749,0.34239673103599183,0.4327481177530755,1.0,0.529265236460751,0.5322425013606324,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4_2,11_0,5_0",0.19421536676212164,0.20888791545132254,0.18615102822641447,,,,,,,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"4_2,2_0,11_0,5_0",,0.6618705035971223,,0.4996148228600982,,0.1821504939613671,0.6237880674770039,,,sus_scrofa,0.3178510752450855,0.640990371389271,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"4_2,2_0,2_2,11_0,5_0",,0.24280575539568344,,0.29243026276629797,,0.27405000537563756,0.3762119325229962,,,sus_scrofa,0.3024640636199162,0.35900962861072905,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"4_2,2_2,11_0,5_0",,0.09532374100719422,,0.2079549143736039,,0.5437995006629953,,,,sus_scrofa,0.3796848611349984,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6_0,3_0,7_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"6_0,7_0",,,,0.018776636756754797,,0.007125013965726538,,,,gorilla_gorilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"6_0,3_0,7_0",,,,0.9812233632432452,,0.9928749860342734,1.0,,1.0,gorilla_gorilla,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
30,"6_0,7_0",,0.009130724631225117,,,,0.0038129510982537205,,,0.0004971074711060488,homo_sapiens,,,0.0005464468480516327,,,,,,,,,,,,,0.00010287199092064533,0.0034249353932352747,,,0.0005161550115657714,,,,0.0024839641692348483,,0.0014995988603269434,,
31,"6_0,3_0,7_0",1.0,0.9908692753687749,1.0,1.0,1.0,0.9961870489017463,1.0,,0.9995028925288939,homo_sapiens,1.0,1.0,0.9994535531519484,1.0,1.0,1.0,,,,,,,,,1.0,0.9998971280090794,0.9965750646067647,1.0,1.0,0.9994838449884342,1.0,1.0,1.0,0.9975160358307652,1.0,0.9985004011396731,,1.0
32,"6_0,3_0,7_0",,,,1.0,1.0,1.0,1.0,,1.0,monodelphis_domestica,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
33,"6_0,3_0,7_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mus_musculus,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,
34,"6_0,3_0,7_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6_0,3_0,7_0",,1.0,,1.0,,1.0,1.0,,,sus_scrofa,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
