Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	female gonad	frontal cortex	gastrula	heart	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland	zone of skin
homo_sapiens	3_0,2_0		1.4647872040642807e-08	4.5647923059706964e-07	2.9167709473046388e-08	8.228749144090201e-06	1.381039167803754e-06		3.234532425535932e-07		2.7524944080856454e-07	6.602855927058431e-06		2.659796164925023e-07	7.508729771058572e-07	5.781478777726215e-07		2.2120971817965406e-07		4.632611260621582e-07	0.0	8.596780929894795e-06	2.7311633682625644e-07			3.8025945252205e-07	6.512406568673761e-07	2.716162115148794e-07	2.2511956664203787e-08		
rattus_norvegicus	3_0,2_0				6.068938160979435e-08	6.99640308002295e-05			1.2547772445551363e-07					1.7083263491225512e-07																	
mus_musculus	6_0,3_1,3_2,3_3,3_5,3_6,2_0	0.00011479474640111202			5.735212758736736e-08	0.00018338442529071918	6.54472922072916e-05	5.7652012041933e-06	1.714079632561069e-07		8.889085400572141e-08			1.2644397726348404e-07			1.9693985597743732e-08							4.938351803956786e-07							2.681444413063474e-07
bos_taurus	6_0,3_1,3_2,3_3,3_5,3_6,2_0				1.51987140672002e-07	0.00020399737342917582			1.5043231713915303e-07													6.233000967229174e-05			7.173308956363586e-10						
gorilla_gorilla	6_0,3_1,3_2,3_3,3_5,3_6,2_0				8.234893480239564e-08		6.570353567568673e-05					6.83789527450162e-05					4.9046629941418656e-08					0.00012130103513973262						2.222302893806818e-08			
sus_scrofa	6_0,3_1,3_2,3_3,3_5,3_6,2_0																	1.178581279281175e-06				0.00011229938137853748									
ornithorhynchus_anatinus	6_0,3_1,3_2,3_3,3_5,3_6,2_0					4.771547360968146e-05	0.00012361305227573245				3.1114685487014276e-07			1.2376557541144363e-07																	
homo_sapiens	6_0,3_1,3_2,3_3,3_5,3_6,2_0			1.3708904716105329e-07	6.160080154962976e-08	5.3018768936714465e-05	3.712000613923272e-05		3.36068707884486e-08		1.9127948044842623e-08	0.0004785842684188243			1.9386469143707336e-07	1.0598436922383435e-07		5.5539762723180104e-08		3.367411444095493e-05	2.087612753083158e-07	5.257256572864554e-05	1.0295144878667435e-07			1.1450996558241401e-07	1.2699192808913836e-05	2.231537667451002e-07			
gorilla_gorilla	6_0,2_0				7.373294722829741e-08		8.18225414719597e-08															8.565371385509637e-08						1.7495291186115485e-08			
homo_sapiens	6_0,2_0						4.686492404133112e-07					3.0906600623794104e-08								1.6000283167659338e-08						6.291807487804589e-08					
