,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,female gonad,placenta,cerebellum,frontal cortex,Ammon's horn,embryonic stem cell,fibroblast,thymus,zone of skin,cerebral cortex,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland
10,"5_1,11_0,11_3,15_1",0.21270830373266586,0.23754043418309437,0.19666307386859236,0.25129664388122835,0.20839502311058508,0.2322959117399812,,,0.18906650384223328,homo_sapiens,0.23071205528339084,0.20245117296346057,0.2131459822722945,0.2509581997230027,0.3198752363902902,0.2761541167871503,,,,,,,0.26923160562422843,0.26704723882962533,0.24294433399628648,0.3021064763589382,0.2500034771931293,,0.26074539073274916,0.21003387489342604,0.25732611084185597,0.41910186449102477,0.2597768798887041,0.2936489286687976,0.2577121912662683
11,"5_1,11_0,15_1",0.3474848089182419,0.23060467837044943,0.4717103466432541,0.29565284075579285,0.3868904529909615,0.3486649667631327,1.0,,0.2283215269099687,homo_sapiens,0.28071335520528357,0.2224370783891586,0.3241612083968261,0.3049812465831592,0.368012476360971,,,,,,,,0.3920458333363959,0.3748827928371343,0.26042353783628513,0.449121261291394,0.2931065090800209,1.0,0.49085285033151765,0.351402596212107,0.31638786504561256,0.5808981355089752,0.28231870097218364,0.3674785589450962,0.3320478536693172
12,"5_1,11_0,15_1",0.30679530224788726,0.19154270336244672,,0.2976179647001991,0.31767426239047186,,,,,monodelphis_domestica,,,0.21181727392255462,0.3690879253110494,,,,,,,,,,,,,,,,,,,,,
13,"5_1,11_0,11_3,15_1",0.3864093955042255,0.25259615981550937,,0.42317289163284977,0.24350985321758456,,,,0.37665373131481905,monodelphis_domestica,,,0.29020665526331724,0.21467518984879835,0.5121265360187386,,,,,,,,,,,,,,,,,,,,
14,"5_1,11_0,11_1,15_1",,,,,0.20472813712763452,,,,0.2641656479094808,monodelphis_domestica,,,0.2257064529230386,0.21126318476336048,,,,,,,,,,,,,,,,,,,,,
15,"5_1,11_0,11_1,11_3,15_1",0.30679530224788726,0.555861136822044,,0.2792091436669511,0.23408774726430906,,,,0.3591806207757002,monodelphis_domestica,,,0.2722696178910896,0.20497370007679172,0.4878734639812614,,,,,,,,,,,,,,,,,,,,
16,"5_1,11_0,15_1",0.2913493853604104,0.19077400194275132,0.28117069526508054,0.25834196941252285,0.23264823264581874,0.2539322509909493,0.30567758142499024,0.32354516363499647,0.25363421021196686,mus_musculus,,,0.22649035425664288,0.32998420564547576,,,0.20692925040042612,0.31034482758620685,0.11699164345403901,0.4755330103357108,0.3579457238105878,,,,,,,,,,,,,,
17,"5_1,15_1",,,,,0.005287452912538426,0.0005489377300327957,,,,mus_musculus,,,,0.004293643058021922,,,,,,,,,,,,,,,,,,,,,
18,"5_1,11_3,15_1",,,,,0.14126126185164614,0.14498984699044856,,,,mus_musculus,,,,,,,,,,,,,,,,,,,,,,,,,
19,"5_1,11_0,11_3,15_1",0.45008999827018925,0.2496986059011022,0.4305408709936195,0.3515677244910341,0.31099758090930396,0.2902258756940152,0.396592018108435,0.39347487264738246,0.3872388671798748,mus_musculus,,,0.3200194594161351,0.41633992858976004,0.3703508306448702,,0.249651868488989,0.6896551724137931,0.5236768802228413,0.5244669896642891,0.27347385001036983,,,,,,,,,,,,,,
20,"5_1,11_0,11_1,15_1",,0.20284113658035313,,0.1562118494898485,0.136245821773781,0.13516279238781506,,,,mus_musculus,,,0.16938089692745448,,,,0.23673186153281903,,,,0.1867511533893196,,,,,,,,,,,,,,
21,"5_1,11_0,11_1,11_3,15_1",0.2585606163694003,0.3566862555757935,0.2882884337412999,0.23387845660659448,0.17355964990691175,0.17514029620673913,0.29773040046657473,0.2829799637176211,0.3591269226081583,mus_musculus,,,0.28410928939976754,0.24938222270674218,0.6296491693551298,,0.3066870195777659,,0.3593314763231198,,0.1818292727897226,1.0,,,,,,,,,,,,,
22,"5_1,11_0,11_3,15_1",0.37201569763604536,0.2821961666568705,0.3489385608675631,0.31174789378003137,0.3815782250151931,0.3692286923805864,0.44657465185155987,0.3636923732909658,0.308430182795598,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,
23,"5_1,11_0,11_1,11_3,15_1",0.2614851233181301,0.4712449098597238,0.2615755716799001,0.3741976417283515,0.2656758235612062,0.22216911803485442,0.26225090124338246,0.2738559343157488,0.3555485217961233,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,
24,"5_1,11_0,15_1",0.36649917904582446,0.24655892348340563,0.38948586745253694,0.31405446449161706,0.3527459514236007,0.4086021895845593,0.2911744469050578,0.3624516923932854,0.3360212954082787,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,
25,"5_1,15_1",,,,,0.006610491370733402,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,,,,,
26,"5_1,11_3,15_1",,,,,0.047749507416575555,,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,,,,,
27,"5_1,11_0,15_1",0.5237537631424863,,,0.2628504672897196,0.4123936149758187,0.37635705669481306,,,,sus_scrofa,0.37724550898203596,,,,,,,,,,,,,,,,,,,,,,,,
28,"5_1,11_0,11_3,15_1",0.47624623685751377,,,0.36214953271028033,0.22678944634387166,0.2846803377563329,,,,sus_scrofa,0.37125748502994005,0.549294998170455,,,,,,,,,,,,,,,,,,,,,,,
29,"5_1,11_0,11_1,15_1",,,,0.15420560747663553,0.16243256514158627,0.15440289505428229,,,,sus_scrofa,,,,,,,,,,,,,,,,,,,,,,,,,
