Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	6_0,8_0,3_0					3.103679760117667e-06				1.2831621912373804e-06				6.10202446259487e-06													9.419325599445884e-07	3.2871715263619028e-06						1.6893686687870193e-06		2.714640901305179e-06	4.1812845159985866e-06			1.1195993603128726e-05				
rattus_norvegicus	6_0,8_0,3_0					1.507180366773026e-06				1.3046701639230898e-06				2.5976347427390137e-06								1.1538219078370556e-06						3.4013546137495612e-06								7.560794568298399e-07	3.158598443861179e-06			3.000798892335513e-06				
sus_scrofa	6_0,8_0,3_0					1.711888796304798e-06																			1.9788201166325372e-06			1.098947409059474e-05																
mus_musculus	6_0,8_0,3_0	7.181121392861053e-07				1.1818594943405834e-06				4.78932449871954e-07				1.1918176148000994e-06				7.818195189811394e-07	2.357733590480079e-07			9.718985853571517e-07					5.237683793587213e-07	1.3853759853544667e-06					2.6786217742834673e-06			5.067803666930059e-07	1.1700469395538534e-06			1.8402773504444388e-06		3.0198157599234255e-06		5.137098877333513e-07
homo_sapiens	6_0,20_0,3_0																					4.4034109512056263e-07	1.1958321804072691e-05		5.159126389586402e-07							6.921517466162143e-07								6.146041869724948e-07				
mus_musculus	6_0,20_0,3_0																	1.7942916651842408e-07				4.572097609337117e-07					3.1024943620719975e-07	2.2714811582642707e-06					8.024475833899933e-07									3.408996480577638e-06		
mus_musculus	6_0,20_0,8_0	1.3294694299181544e-06				1.5324683600351162e-06			1.6295045208221345e-07	6.556491580165406e-07	6.383851817010209e-08	3.516878319845429e-07		1.8585025538802806e-06			7.291310569691603e-08	6.235925780699191e-07	1.1470055305038216e-07			1.0239889152629035e-06					5.879273418474428e-07	3.7756526364520715e-06					2.33175541336281e-06			6.463615216599004e-07	1.9444973188290098e-06			1.7169082028065688e-06		6.808294842262884e-06		6.360057471188111e-07
bos_taurus	6_0,20_0,8_0					4.1735102280028335e-06				1.2497902055919346e-06				5.5860051294193e-06								3.3052585911821525e-06					1.1600392905500601e-06	4.314767938439066e-06						2.665310217340434e-06		3.5377430601117943e-06	3.5674241505318114e-06			1.6708919357792325e-05				
gorilla_gorilla	6_0,20_0,8_0					1.7669562926521747e-06						7.619927410367368e-07								9.745990572573373e-07		4.3873388196854386e-07					5.00217823056355e-07							1.5214166234191833e-06						2.601567235378311e-06				
sus_scrofa	6_0,20_0,8_0					1.864214592312968e-06																2.53627383841282e-06			3.2540597473512837e-06		1.6756468355272484e-06	1.4381876962039198e-05						1.3832103213016405e-06										
