,path,gastrula,Species,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,kidney,prefrontal cortex,cerebellum,female gonad,placenta,frontal cortex,Ammon's horn,bone marrow,bone marrow macrophage,brown adipose tissue,cerebral cortex,embryonic stem cell,fibroblast,thymus,zone of skin,adrenal tissue,multi-cellular organism,muscle of leg,adipose tissue,adrenal gland,heart left ventricle,intestine,leukocyte,lymph node,prostate gland,stomach,temporal lobe,thoracic mammary gland,thyroid gland,blastula,egg cell,embryo,mesonephros
30,"6_0,20_0,3_0",,mus_musculus,,,,0.16637974524699473,0.19833717134620135,0.32163169875629216,,,,,,,0.09597316336602246,0.11806959547421693,,,,,,,,,0.26353445151399124,,,,,,,,,,,,,,,,,,,
31,"6_0,20_0,8_0,3_0",,mus_musculus,0.603390853976241,0.6057204150438652,0.6293379965434196,0.47994399310144786,0.4668266398356668,0.48220518099743853,0.599500293754349,0.6370289427184601,0.5616126259891977,,,1.0,0.48584681677518043,0.48780648183665143,,0.6507759768914396,,1.0,1.0,,1.0,0.48847926267281105,0.5030169384628391,0.5937856127207294,,,,,,,,,,,,,,,,,,
32,"6_0,20_0,8_0,3_0",,rattus_norvegicus,0.5886722646851721,0.5596691863106145,0.5736983289459325,0.6009935903221045,1.0,0.5437255859995418,0.5628575545208437,0.554106198112969,0.5795002470456891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"6_0,8_0,3_0",,rattus_norvegicus,0.41132773531482797,0.44033081368938554,0.4263016710540675,0.3990064096778955,,0.45627441400045826,0.4371424454791563,0.4458938018870311,0.4204997529543108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"6_0,20_0,8_0,3_0",,sus_scrofa,0.5766745618367,,,1.0,1.0,0.6057142857142856,,,,0.6361185983827493,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6_0,8_0,3_0",,sus_scrofa,0.4233254381633001,,,,,0.39428571428571435,,,,0.36388140161725063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"16_0,18_2,22_0,1_0,12_1",,bos_taurus,,0.1366380714091579,,0.0733110398172345,,,0.1880584259631762,,0.15921957582401047,,0.11861012728196253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"16_0,22_0,1_0,12_1",,bos_taurus,0.5382079798489545,0.3944113531286464,0.5377438557570349,0.2207915738389251,0.4288881872625512,0.5477953220465901,0.18218306167931733,0.574799818763063,0.44825819286646973,,0.3684233180160635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"16_0,22_0,12_1",,bos_taurus,0.4617920201510456,0.408706700027179,0.4622561442429652,0.4973645442558718,0.5711118127374489,0.4522046779534098,0.33671820365155325,0.4252001812369371,0.3770925938463853,,0.4339458218052524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"16_0,18_2,22_0,12_1",,bos_taurus,,0.06024387543501674,,0.20853284208796877,,,0.29304030870595316,,0.01542963746313447,,0.0790207328967215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"16_0,22_0,12_1",,gorilla_gorilla,0.5312378025036034,,,0.5856890364602649,0.4516618954278554,,,,0.38082392479034394,,0.5534144984540661,0.4130567212110365,,,0.5839524517087668,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"16_0,22_0,1_0,12_1",,gorilla_gorilla,0.46876219749639664,,,0.4143109635397351,0.5483381045721446,,,,0.6191760752096561,,0.44658550154593385,0.5869432787889636,,,0.41604754829123314,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"16_0,12_1",,homo_sapiens,,0.01431154303456656,,,,,,,,0.008872569133970198,,,,,,,,,,,,,,,,,0.028130100125376447,,,,,,0.020086732464151855,,0.011937922507536843,,,,,,,
43,"16_0,22_0,12_1",,homo_sapiens,0.5338370862643209,0.6538114177752924,0.4560951930454651,0.6588065912717097,0.48609693545042876,0.4934531133910718,0.7561894149356436,,0.4168416553024619,0.514819488238524,0.664436413727171,0.5576172170693179,0.4779406414975349,0.4988358634239519,0.6374375242064869,,,,,,,,,,0.6275016905826079,0.5174309816010071,0.739058410193391,0.47898563468413174,0.5088268786206968,0.6765223525207029,0.5312793709313697,0.3290661212556695,0.39459469091519767,0.38707440450360825,0.4925798446232096,0.6666666666666667,0.5690948633665778,0.5141029674575659,,,,
44,"16_0,22_0,1_0,12_1",,homo_sapiens,0.46616291373567914,0.33187703919014105,0.5439048069545349,0.34119340872829035,0.5139030645495714,0.5065468866089283,0.24381058506435627,,0.583158344697538,0.47630794262750586,0.33556358627282906,0.4423827829306822,0.5220593585024652,0.5011641365760481,0.3625624757935131,,,,,,,,,,0.3724983094173922,0.48256901839899297,0.23281148968123247,0.5210143653158682,0.49117312137930325,0.32347764747929697,0.4687206290686303,0.6709338787443305,0.5853185766206506,0.6129255954963918,0.49548223286925347,0.33333333333333337,0.43090513663342234,0.4858970325424341,,,,
45,"16_0,22_0,12_1",,mus_musculus,0.42155445363945215,0.5220451328735196,0.625343114471203,0.6273705547145303,0.4909518359480576,0.4697068207350567,0.725366442741699,0.38149069105846756,0.44494558809327894,,,0.5312171329418779,0.47300760600581016,0.4689988068445061,,0.5139221654058961,,0.4576271186440678,0.5652173913043478,0.6,0.5192307692307693,0.6174636174636174,0.4091180392047558,0.41391470659829754,,,,,,,,,,,,,,,,,,
46,"16_0,22_0,1_0,12_1",,mus_musculus,0.5784455463605478,0.4779548671264804,0.37465688552879683,0.37262944528546965,0.5090481640519425,0.5302931792649432,0.274633557258301,0.6185093089415324,0.5550544119067211,,,0.46878286705812217,0.5269923939941898,0.5310011931554939,,0.486077834594104,1.0,0.5423728813559322,0.43478260869565216,0.4,0.4807692307692307,0.38253638253638245,0.5908819607952442,0.5860852934017026,,,,,,,,,,,,,,,,,,
47,"16_0,22_0,1_0,12_1",,rattus_norvegicus,0.5982433575247507,0.4864591606383415,0.4312422181729878,0.45771553736160625,0.5181761859571647,0.5410738919575835,0.4007106794833967,0.5530760507776048,0.44735988008034494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"16_0,22_0,12_1",,rattus_norvegicus,0.40175664247524934,0.5135408393616585,0.566371551701896,0.5422844626383937,0.47809864753421233,0.4589261080424165,0.575214993818095,0.44351069157286044,0.5526401199196551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"16_0,12_1",,rattus_norvegicus,,,0.002386230125116204,,0.0037251665086229483,,0.02407432669850817,0.0034132576495347726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
