,path,embryo,gastrula,blastula,brain,egg cell,female gonad,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,cerebellum,placenta,kidney,prefrontal cortex,frontal cortex,zone of skin,Ammon's horn,bone marrow macrophage,brown adipose tissue,embryonic stem cell,fibroblast,thymus,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,stomach,thyroid gland
20,"5_0,2_0,2_1,2_2,2_3,3_0,4_0,2_3,3_0",,,,0.5198004426940903,,0.2709023230305185,0.2987229201213494,0.20460713216057244,,0.46594159478629327,0.20539455335689383,mus_musculus,0.16336648152235125,0.48465450855482345,0.16916931267977134,0.20206596341242658,0.5813314137988989,0.27018697163659233,,,,0.20901892843298012,0.3251870853946095,0.4939759036144578,0.5090909090909091,0.47674418604651164,0.47769784172661867,0.509890860726754,,,,,,,,,,,
21,"5_0,2_1,2_2,2_3,3_0",,,,,,0.2192402962968162,,0.13774118098656749,,,0.17469886625346687,mus_musculus,0.10588229264591799,,0.13213982722490367,0.13421297753521755,,0.22115339803097542,,,,0.1480556871232405,,,,,,,,,,,,,,,,,
22,"5_0,2_0,2_2,2_3,3_0,4_0,2_3,3_0",,,,,,,0.2417449228889824,0.1639314134956595,,,0.12715485677286797,mus_musculus,0.12798268050712974,,0.12094731865220287,0.16615544700086712,,,,,,,0.255252621485783,,,,,,,,,,,,,,,,
23,"5_0,2_0,2_1,2_2,2_3,3_0",,,,1.0,,,1.0,1.0,,1.0,1.0,rattus_norvegicus,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,"2_3,3_0,4_0",,,,,,,0.995,1.0,,,,sus_scrofa,1.0,,0.9937694704049844,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
25,"2_3,4_0",,,,,,,0.004999999999999999,,,,,sus_scrofa,,,0.006230529595015574,,,,,,,,,,,,,,,,,,,,,,,,
26,"5_0,2_0,2_1,2_2,2_3,3_0,4_0,2_3,3_0",0.23338483148677597,0.23429268255980992,0.3150645998146537,0.3414091496951549,0.33779541944598374,0.3279244397399768,0.3285116069553146,0.3245439776551672,0.3227706256231142,0.33842239185750633,0.32735768528601555,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"5_0,2_0,2_1,2_2,2_3,3_0",0.28810487583277056,0.283229473179262,0.389072294787435,0.33954496928971806,0.3467802492671485,0.34950293156602974,0.35260249164938734,0.3610326304832766,0.36429477340545685,0.32061068702290074,0.3520604614058677,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"5_0,2_0,2_2,2_3,3_0",0.1303168532501062,0.12923289392016005,,,,,,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"5_0,2_0,2_1,2_2,2_3,3_0,2_2,2_3,3_0,4_0,2_3,3_0",0.2204254303623689,0.22113757346030977,0.2958631053979112,0.3190458810151271,0.3154243312868677,0.32257262869399356,0.31888590139529793,0.3144233918615561,0.312934600971429,0.34096692111959287,0.3205818533081167,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"5_0,2_0,2_2,2_3,3_0,4_0,2_3,3_0",0.1277680090679784,0.13210737688045834,,,,,,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
