Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	2_3,3_0,4_0	5.265793183515173e-07				2.255022349087112e-06			9.777027124932807e-07	4.7433914306828617e-07	1.0639753028350346e-07	5.205249125851167e-07		1.3130520765483005e-06			2.0051104066651916e-07	4.656975833109749e-06	2.8675138262595553e-07			1.334487404935711e-06					1.1055644683242039e-06	3.0250535817964284e-06					6.586478125265442e-06			8.45213575946958e-07	1.8614227012586938e-06		2.9799612597495018e-06		3.0291240646953094e-06		6.323978331223263e-07
monodelphis_domestica	2_3,3_0,4_0					1.843864779609288e-06				3.9587354402612377e-07		1.5171156139458513e-07						3.1071461341832557e-06				3.756913129258848e-07					8.705012133868645e-07						2.4985756138351724e-06						1.5072271806235377e-06				
xenopus_tropicalis	2_3,3_0,4_0						4.824391597205141e-06			1.4283908571020712e-06					1.3362788831374658e-06	2.6052035354435093e-06		9.380388960203139e-06			1.5410071714717563e-06	2.768200939408559e-06					4.664009098382261e-06			4.929597744034215e-06						1.0163736832394946e-06			5.835321398149976e-06				
gorilla_gorilla	2_3,3_0,4_0					2.087181012061894e-06						6.452613294877025e-07								6.172460695963137e-07		7.168261532833216e-07					1.0273473929451374e-06							8.342782774341249e-07					2.571013897468331e-06				
sus_scrofa	2_3,3_0,4_0					3.0866074949024828e-06																4.972595998464542e-06			6.288250592854507e-06		1.3488100506776695e-06	1.5241922760433575e-05						5.395975228186291e-07									
homo_sapiens	2_3,3_0,4_0		2.1988726624907476e-06	2.270405573954636e-06	3.558517757798969e-06	1.1620325266801828e-06				8.228289810304777e-07		2.0298007311628006e-07		1.9097700810751413e-06				2.7529830552285098e-06		6.781671189362025e-07		1.1124623783135323e-06	2.7596795060006116e-06	4.621175464238786e-06	2.5913533153196262e-06	6.180750256070894e-06	5.976229465909243e-07	2.7811285375202066e-06	2.3497316805950985e-06		5.932342543361184e-06	6.025832632155267e-07	6.703471683277541e-06	7.262785080509443e-07	1.6800240231236922e-06	5.320766618067673e-07		2.293035559349414e-06	3.3391684319411663e-06	1.3909549900271564e-06		1.7635749732117295e-06	
gorilla_gorilla	2_3,4_0																					4.7643243580608924e-08					4.399592456951527e-08												8.74764559305774e-08				
homo_sapiens	2_3,4_0		5.8324880842997506e-08	9.903160115326233e-08	6.457970759348962e-08					3.5937780202380024e-08								0.0				5.251225970150128e-08	1.436926953530932e-07	6.981561138508308e-08		6.538252358993936e-08	4.617576091603059e-08	1.805822563890441e-07	1.2762176154155733e-07		1.0449087615362411e-07	7.709805205989773e-08	2.857117796138189e-08					6.938596749295177e-08				4.173636179439607e-08	
sus_scrofa	2_3,4_0																					2.498791959027408e-08						9.55606442660412e-08															
monodelphis_domestica	2_3,4_0					1.344106255362984e-07																																	2.425917454083084e-08				
